Country,people_fully_vaccinated,Population
Argentina,21003681,45605823
Australia,10355227,25788217
Austria,5383037,9043072
Azerbaijan,3544276,10223344
Bahamas,70128,396914
Bahrain,1109327,1748295
Bulgaria,1306264,6896655
Cambodia,10774063,16946446
Canada,26685251,38067913
Chile,14093250,19212362
China,969720000,1444216102
Croatia,1690798,4081657
Czechia,5934653,10724553
Dominica,21009,72172
Dominican Republic,4862748,10953714
Estonia,600661,1325188
Ethiopia,742413,117876226
Germany,53134571,83900471
Greece,6032446,10370747
Greenland,36626,56868
Guatemala,2259308,18249868
Honduras,1988868,10062994
India,220331219,1393409033
Indonesia,47776434,276361788
Ireland,3650824,4982904
Isle of Man,63841,85410
Israel,5609308,8789776
Italy,40363744,60367471
Jamaica,220722,2973462
Jordan,3224659,10269022
Kazakhstan,6328291,18994958
Kenya,881563,54985702
Kosovo,484300,1932774
Kyrgyzstan,592459,6628347
Lebanon,1258920,6769151
Malaysia,19336889,32776195
Malta,419919,514564
Mexico,44278675,130262220
Moldova,769140,4024025
Mongolia,2126240,3329282
Montenegro,207471,628051
Nepal,5946022,29674920
Panama,2199589,4381583
Paraguay,1861882,7219641
Poland,19367855,37797000
Portugal,8602244,10167923
Romania,5310948,19127772
Russia,41559654,145912022
Saint Lucia,30483,184401
Saudi Arabia,18193586,35340680
Serbia,2880984,6804596
Singapore,4566329,5896684
Slovakia,2240682,5460726
Slovenia,987281,2078723
South Africa,8362232,60041996
South Korea,22997770,51305184
Sri Lanka,11406358,21497306
Suriname,166783,591798
Sweden,6481560,10160159
Taiwan,2067218,23855008
Trinidad and Tobago,475896,1403374
Tunisia,3387656,11935764
Turkey,43285677,85042736
Ukraine,5418078,43466822
United Arab Emirates,8139997,9991083
United Kingdom,44692956,68207114
United States of America,182958696,332915074
Uruguay,2562665,3485152
Vietnam,7555545,98168829
Zimbabwe,2175770,15092171
